text_raw,text_clean,intent,category,emotion,emotion_score,confidence_label,source,language,multi_category,alt_category,created_at
concert ticket,concert ticket,entertainment,entertainment,regret,-0.52,0.98,sms,english,False,,2024-09-08
clinic consultation,clinic consultation,health,medical,neutral,-0.03,0.98,manual,english,False,,2024-05-26
bought clothes online,bought clothes online,shopping,shopping,neutral,0.06,0.93,sms,english,False,,2024-02-07
auto ride home,auto ride home,commute,cab,casual,0.29,0.93,manual,english,False,,2024-11-24
dog grooming,dog grooming,pet_care,medical,care,0.39,0.86,sms,hinglish,False,,2024-04-28
gaming subscription,gaming subscription,entertainment,entertainment,neutral,0.09,0.87,manual,english,False,,2025-04-19
junk food again 😐,junk food again,food_order,dining,stress,-0.59,0.85,manual,hinglish,False,,2024-03-04
late night food craving,late night food craving,food_order,dining,stress,-0.52,0.85,manual,hinglish,False,,2025-04-26
food delivery after work,food delivery after work,food_order,groceries,impulsive,-0.28,0.98,manual,english,False,,2024-04-27
took rapido bike,took rapido bike,commute,fuel,care,0.32,0.96,sms,hinglish,False,,2024-01-25
ordered food again 😩,ordered food again,food_order,groceries,regret,-0.7,0.94,manual,hinglish,False,,2025-02-16
spotify subscription,spotify subscription,subscription,subscription,care,0.25,0.95,sms,hinglish,False,,2024-03-09
ola cab to office,ola cab to office,commute,cab,care,0.25,0.87,sms,english,False,,2024-01-15
exam registration,exam registration,education,education,care,0.31,0.98,sms,english,False,,2024-11-27
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,stress,-0.46,0.9,manual,english,False,,2025-02-23
medicines bought,medicines bought,health,medical,neutral,-0.0,0.97,manual,english,False,,2025-01-10
app premium plan,app premium plan,subscription,subscription,stress,-0.59,0.91,manual,english,False,,2024-08-11
car service today,car service today,vehicle_maintenance,vehicle_repair,anxiety,-0.79,0.88,manual,hinglish,False,,2024-05-20
ordered food again 😩,ordered food again,food_order,groceries,regret,-0.68,0.95,manual,english,False,,2024-10-15
mobile recharge done,mobile recharge done,bill_payment,electricity,neutral,-0.03,0.86,sms,hinglish,False,,2025-02-21
bought clothes online,bought clothes online,shopping,shopping,casual,0.15,0.9,manual,hinglish,False,,2024-09-29
cloud storage plan,cloud storage plan,subscription,subscription,stress,-0.53,0.91,manual,english,False,,2024-06-19
engine oil change,engine oil change,vehicle_maintenance,fuel,happy,0.64,0.91,sms,hinglish,False,,2024-12-21
metro recharge,metro recharge,commute,cab,regret,-0.59,0.91,sms,english,False,,2024-10-13
metro recharge,metro recharge,commute,fuel,happy,0.71,0.9,manual,hinglish,False,,2024-05-04
impulse shopping again 😐,impulse shopping again,shopping,shopping,casual,0.3,0.97,sms,english,False,,2024-06-03
auto ride home,auto ride home,commute,cab,happy,0.72,0.87,sms,english,False,,2025-01-03
cat food purchase,cat food purchase,pet_care,medical,regret,-0.54,0.83,manual,english,False,,2024-10-20
concert ticket,concert ticket,entertainment,entertainment,anxiety,-0.73,0.82,sms,hinglish,False,,2024-07-22
book purchase,book purchase,education,education,care,0.41,0.98,sms,english,False,,2024-11-05
health checkup,health checkup,health,medical,happy,0.62,0.91,sms,hinglish,False,,2024-02-06
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,regret,-0.69,0.89,manual,hinglish,False,,2024-10-20
app premium plan,app premium plan,subscription,subscription,neutral,0.11,0.87,sms,hinglish,False,,2024-01-15
vet consultation,vet consultation,pet_care,medical,casual,0.26,0.92,manual,english,False,,2024-06-02
exam registration,exam registration,education,education,regret,-0.55,0.89,manual,english,False,,2024-10-19
bought clothes online,bought clothes online,shopping,shopping,care,0.41,0.97,sms,hinglish,False,,2025-02-16
book purchase,book purchase,education,education,impulsive,-0.38,0.97,manual,hinglish,False,,2024-08-14
swiggy dinner order,swiggy dinner order,food_order,dining,stress,-0.47,0.82,manual,hinglish,False,,2024-09-11
book purchase,book purchase,education,education,stress,-0.59,0.9,sms,english,False,,2024-12-29
learning platform subscription,learning platform subscription,education,education,anxiety,-0.76,0.97,manual,hinglish,False,,2024-05-17
auto ride home,auto ride home,commute,fuel,regret,-0.64,0.96,sms,english,False,,2024-01-22
took rapido bike,took rapido bike,commute,fuel,care,0.44,0.95,sms,hinglish,False,,2024-01-02
ola cab to office,ola cab to office,commute,cab,care,0.38,0.94,manual,english,False,,2024-11-24
impulse shopping again 😐,impulse shopping again,shopping,shopping,anxiety,-0.7,0.95,sms,english,False,,2024-01-02
auto ride home,auto ride home,commute,fuel,regret,-0.66,0.94,sms,english,False,,2024-07-16
electricity bill paid,electricity bill paid,bill_payment,electricity,regret,-0.61,0.96,sms,hinglish,False,,2025-01-30
medicines bought,medicines bought,health,medical,neutral,0.05,0.95,sms,english,False,,2024-05-10
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,vehicle_repair,care,0.35,0.92,manual,english,False,,2024-09-02
learning platform subscription,learning platform subscription,education,education,care,0.42,0.93,manual,hinglish,False,,2024-03-07
concert ticket,concert ticket,entertainment,entertainment,anxiety,-0.72,0.85,sms,hinglish,False,,2024-10-07
netflix renewal,netflix renewal,subscription,subscription,casual,0.18,0.99,sms,english,False,,2024-07-03
impulse shopping again 😐,impulse shopping again,shopping,shopping,regret,-0.53,0.95,manual,english,False,,2024-02-08
ordered food again 😩,ordered food again,food_order,dining,stress,-0.59,0.94,manual,hinglish,False,,2025-03-10
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,fuel,neutral,0.05,0.83,sms,english,False,,2024-08-18
vet consultation,vet consultation,pet_care,pet_supplies,regret,-0.63,0.85,sms,hinglish,True,medical,2025-04-08
ate outside today,ate outside today,food_order,dining,casual,0.32,0.94,sms,english,False,,2024-10-08
medicines bought,medicines bought,health,medical,impulsive,-0.29,0.92,manual,hinglish,False,,2025-03-18
netflix renewal,netflix renewal,subscription,subscription,anxiety,-0.83,0.91,manual,hinglish,False,,2024-04-24
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,fuel,impulsive,-0.34,0.85,sms,english,False,,2024-11-29
medicines bought,medicines bought,health,medical,neutral,-0.0,0.87,manual,hinglish,False,,2024-02-13
doctor visit,doctor visit,health,medical,casual,0.23,0.83,sms,english,False,,2025-03-05
book purchase,book purchase,education,education,happy,0.66,0.83,manual,hinglish,False,,2025-03-19
concert ticket,concert ticket,entertainment,entertainment,regret,-0.51,0.98,sms,english,False,,2024-07-27
mobile recharge done,mobile recharge done,bill_payment,mobile_bill,neutral,0.1,0.93,manual,hinglish,False,,2025-02-02
concert ticket,concert ticket,entertainment,entertainment,anxiety,-0.67,0.94,manual,hinglish,False,,2024-09-11
auto ride home,auto ride home,commute,fuel,care,0.42,0.82,manual,english,False,,2025-05-11
paid house rent,paid house rent,bill_payment,rent,happy,0.58,0.9,sms,hinglish,False,,2024-01-28
gaming subscription,gaming subscription,entertainment,entertainment,anxiety,-0.77,0.91,manual,english,False,,2025-04-19
mobile recharge done,mobile recharge done,bill_payment,rent,casual,0.28,0.92,sms,english,False,,2024-03-14
exam registration,exam registration,education,education,happy,0.67,0.85,sms,hinglish,False,,2025-03-17
electricity bill paid,electricity bill paid,bill_payment,mobile_bill,care,0.28,0.99,sms,english,False,,2025-01-10
vet consultation,vet consultation,pet_care,medical,impulsive,-0.37,0.9,sms,english,False,,2024-06-28
food delivery after work,food delivery after work,food_order,dining,regret,-0.66,0.95,manual,english,False,,2024-10-23
bike repair + fuel,bike repair + fuel,vehicle_maintenance,vehicle_repair,anxiety,-0.73,0.96,sms,hinglish,False,,2024-06-18
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,neutral,-0.04,0.91,manual,english,False,,2024-03-16
exam registration,exam registration,education,education,anxiety,-0.77,0.85,manual,english,False,,2024-12-26
weekend outing,weekend outing,entertainment,entertainment,anxiety,-0.7,0.88,manual,hinglish,False,,2024-07-25
cloud storage plan,cloud storage plan,subscription,subscription,impulsive,-0.25,0.92,manual,hinglish,False,,2025-03-29
doctor visit,doctor visit,health,medical,impulsive,-0.39,0.97,sms,hinglish,False,,2024-03-16
online course fee,online course fee,education,education,casual,0.29,0.89,manual,english,False,,2024-07-24
online course fee,online course fee,education,education,impulsive,-0.31,0.82,manual,english,False,,2024-09-23
fuel refill before work,fuel refill before work,commute,cab,casual,0.32,0.95,manual,english,False,,2024-09-19
book purchase,book purchase,education,education,impulsive,-0.38,0.94,manual,hinglish,False,,2024-07-12
fuel refill before work,fuel refill before work,commute,fuel,neutral,0.06,0.85,sms,hinglish,False,,2025-04-14
app premium plan,app premium plan,subscription,subscription,happy,0.61,0.88,sms,hinglish,False,,2024-12-23
impulse shopping again 😐,impulse shopping again,shopping,shopping,happy,0.69,0.95,sms,english,False,,2024-06-29
spotify subscription,spotify subscription,subscription,subscription,casual,0.29,0.9,sms,english,False,,2025-01-14
shopping mall visit,shopping mall visit,shopping,shopping,care,0.32,0.92,sms,english,False,,2024-06-16
junk food again 😐,junk food again,food_order,groceries,regret,-0.56,0.86,sms,english,False,,2024-05-09
auto ride home,auto ride home,commute,cab,happy,0.7,0.84,sms,english,False,,2024-01-28
vet consultation,vet consultation,pet_care,pet_supplies,happy,0.59,0.95,manual,hinglish,False,,2025-02-11
internet bill cleared,internet bill cleared,bill_payment,mobile_bill,happy,0.68,0.97,manual,hinglish,False,,2024-02-21
took rapido bike,took rapido bike,commute,fuel,happy,0.67,0.92,manual,hinglish,False,,2024-06-26
junk food again 😐,junk food again,food_order,dining,anxiety,-0.79,0.91,manual,english,False,,2025-05-14
vet consultation,vet consultation,pet_care,medical,happy,0.65,0.84,sms,english,False,,2024-12-12
online course fee,online course fee,education,education,casual,0.22,0.9,sms,hinglish,False,,2025-05-12
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,vehicle_repair,impulsive,-0.45,0.86,sms,hinglish,False,,2025-01-16
pet food and vet visit,pet food and vet visit,pet_care,pet_supplies,neutral,0.01,0.84,sms,hinglish,False,,2025-04-02
auto ride home,auto ride home,commute,fuel,anxiety,-0.74,0.87,sms,english,False,,2024-07-04
health checkup,health checkup,health,medical,happy,0.7,0.85,sms,english,False,,2024-04-19
food delivery after work,food delivery after work,food_order,groceries,care,0.37,0.84,manual,hinglish,False,,2024-07-08
movie night,movie night,entertainment,entertainment,regret,-0.7,0.94,sms,english,False,,2024-05-09
bought clothes online,bought clothes online,shopping,shopping,stress,-0.65,0.98,manual,english,False,,2024-05-05
paid house rent,paid house rent,bill_payment,rent,regret,-0.66,0.82,sms,hinglish,False,,2024-02-22
fuel refill before work,fuel refill before work,commute,cab,happy,0.69,0.96,sms,english,False,,2025-01-16
pet food and vet visit,pet food and vet visit,pet_care,medical,happy,0.72,0.95,manual,english,False,,2024-06-05
fuel refill before work,fuel refill before work,commute,cab,neutral,0.05,0.9,manual,hinglish,False,,2024-08-15
engine oil change,engine oil change,vehicle_maintenance,fuel,casual,0.21,0.9,manual,hinglish,False,,2024-01-28
shopping mall visit,shopping mall visit,shopping,shopping,happy,0.62,0.92,sms,hinglish,False,,2025-05-04
weekend outing,weekend outing,entertainment,entertainment,stress,-0.47,0.95,sms,english,False,,2024-10-18
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,stress,-0.46,0.91,manual,hinglish,False,,2024-10-28
ate outside today,ate outside today,food_order,groceries,happy,0.65,0.92,manual,hinglish,False,,2024-04-19
book purchase,book purchase,education,education,care,0.28,0.86,sms,hinglish,False,,2025-02-19
food delivery after work,food delivery after work,food_order,groceries,neutral,0.07,0.93,sms,english,False,,2024-06-25
clinic consultation,clinic consultation,health,medical,neutral,0.04,0.98,sms,hinglish,False,,2024-05-20
netflix renewal,netflix renewal,subscription,subscription,anxiety,-0.83,0.93,manual,hinglish,False,,2024-10-25
took rapido bike,took rapido bike,commute,fuel,impulsive,-0.28,0.94,manual,hinglish,False,,2025-03-25
online course fee,online course fee,education,education,regret,-0.68,0.92,sms,english,False,,2024-09-26
internet bill cleared,internet bill cleared,bill_payment,mobile_bill,regret,-0.55,0.93,manual,hinglish,False,,2024-01-19
learning platform subscription,learning platform subscription,education,education,anxiety,-0.65,0.85,manual,hinglish,False,,2024-01-31
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,impulsive,-0.31,0.9,manual,hinglish,False,,2024-06-26
car service today,car service today,vehicle_maintenance,fuel,happy,0.73,0.98,manual,hinglish,False,,2024-10-20
car service today,car service today,vehicle_maintenance,vehicle_repair,neutral,0.07,0.87,manual,english,False,,2025-03-17
gaming subscription,gaming subscription,entertainment,entertainment,stress,-0.54,0.89,manual,hinglish,False,,2025-02-22
fuel refill before work,fuel refill before work,commute,cab,casual,0.26,0.95,sms,hinglish,False,,2024-06-24
medicines bought,medicines bought,health,medical,casual,0.23,0.97,manual,english,False,,2025-03-26
electricity bill paid,electricity bill paid,bill_payment,mobile_bill,care,0.35,0.98,sms,english,False,,2024-12-13
electricity bill paid,electricity bill paid,bill_payment,mobile_bill,neutral,0.1,0.85,sms,english,False,,2024-09-23
shopping mall visit,shopping mall visit,shopping,shopping,anxiety,-0.78,0.96,manual,hinglish,False,,2024-02-17
dog grooming,dog grooming,pet_care,pet_supplies,casual,0.21,0.82,sms,hinglish,True,medical,2024-12-28
shopping mall visit,shopping mall visit,shopping,shopping,care,0.37,0.91,manual,hinglish,False,,2024-06-23
engine oil change,engine oil change,vehicle_maintenance,fuel,casual,0.28,0.92,sms,hinglish,False,,2024-05-16
book purchase,book purchase,education,education,regret,-0.69,0.93,manual,english,False,,2025-03-29
late night food craving,late night food craving,food_order,dining,anxiety,-0.8,0.83,manual,english,False,,2024-05-20
health checkup,health checkup,health,medical,casual,0.19,0.84,manual,hinglish,False,,2024-10-04
gaming subscription,gaming subscription,entertainment,entertainment,care,0.29,0.97,sms,hinglish,False,,2025-02-13
dog grooming,dog grooming,pet_care,medical,care,0.42,0.94,sms,english,False,,2025-03-24
took rapido bike,took rapido bike,commute,fuel,neutral,0.11,0.94,manual,hinglish,False,,2025-04-29
car service today,car service today,vehicle_maintenance,fuel,impulsive,-0.38,0.84,sms,english,False,,2024-04-08
health checkup,health checkup,health,medical,casual,0.32,0.93,sms,hinglish,False,,2024-10-15
exam registration,exam registration,education,education,casual,0.27,0.94,manual,english,False,,2024-03-28
ate outside today,ate outside today,food_order,dining,care,0.27,0.87,sms,english,False,,2024-12-20
gaming subscription,gaming subscription,entertainment,entertainment,impulsive,-0.4,0.92,sms,hinglish,False,,2025-05-05
concert ticket,concert ticket,entertainment,entertainment,anxiety,-0.69,0.96,sms,english,False,,2025-01-18
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,care,0.34,0.87,sms,hinglish,False,,2024-12-07
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,vehicle_repair,casual,0.16,0.97,sms,hinglish,False,,2024-10-26
fuel refill before work,fuel refill before work,commute,fuel,regret,-0.68,0.89,sms,hinglish,False,,2024-07-08
weekend outing,weekend outing,entertainment,entertainment,anxiety,-0.66,0.91,manual,hinglish,False,,2025-02-13
doctor visit,doctor visit,health,medical,anxiety,-0.75,0.96,manual,hinglish,False,,2024-12-22
shopping mall visit,shopping mall visit,shopping,shopping,happy,0.72,0.84,manual,english,False,,2024-09-01
car service today,car service today,vehicle_maintenance,fuel,care,0.4,0.97,manual,hinglish,False,,2024-07-10
app premium plan,app premium plan,subscription,subscription,regret,-0.51,0.85,sms,hinglish,False,,2024-04-22
weekend outing,weekend outing,entertainment,entertainment,neutral,0.03,0.91,sms,english,False,,2025-05-02
online course fee,online course fee,education,education,regret,-0.68,0.9,manual,hinglish,False,,2024-02-26
health checkup,health checkup,health,medical,care,0.43,0.9,sms,hinglish,False,,2024-09-25
junk food again 😐,junk food again,food_order,groceries,stress,-0.52,0.85,manual,english,False,,2024-10-13
weekend outing,weekend outing,entertainment,entertainment,regret,-0.69,0.85,manual,english,False,,2024-06-09
cloud storage plan,cloud storage plan,subscription,subscription,neutral,0.14,0.99,sms,english,False,,2024-04-09
netflix renewal,netflix renewal,subscription,subscription,happy,0.62,0.83,sms,english,False,,2025-04-01
spotify subscription,spotify subscription,subscription,subscription,regret,-0.65,0.92,sms,hinglish,False,,2024-03-03
clinic consultation,clinic consultation,health,medical,casual,0.21,0.85,sms,hinglish,False,,2025-04-12
fuel refill before work,fuel refill before work,commute,cab,care,0.43,0.92,manual,hinglish,False,,2024-10-14
food delivery after work,food delivery after work,food_order,dining,regret,-0.52,0.93,sms,english,False,,2024-10-08
food delivery after work,food delivery after work,food_order,dining,neutral,0.09,0.95,manual,hinglish,False,,2024-03-14
book purchase,book purchase,education,education,care,0.31,0.86,manual,english,False,,2024-11-10
exam registration,exam registration,education,education,neutral,0.08,0.93,sms,english,False,,2025-03-18
pet food and vet visit,pet food and vet visit,pet_care,medical,neutral,-0.03,0.85,manual,hinglish,False,,2025-01-20
movie night,movie night,entertainment,entertainment,stress,-0.49,0.94,manual,english,False,,2024-11-13
vet consultation,vet consultation,pet_care,pet_supplies,stress,-0.52,0.93,manual,english,False,,2025-05-05
food delivery after work,food delivery after work,food_order,dining,anxiety,-0.74,0.85,sms,hinglish,False,,2024-07-28
weekend outing,weekend outing,entertainment,entertainment,care,0.45,0.95,manual,english,False,,2024-12-03
vet consultation,vet consultation,pet_care,pet_supplies,care,0.44,0.95,sms,hinglish,False,,2024-04-19
online course fee,online course fee,education,education,care,0.42,0.99,manual,hinglish,False,,2024-04-15
book purchase,book purchase,education,education,care,0.4,0.94,manual,english,False,,2024-11-22
ordered food again 😩,ordered food again,food_order,groceries,casual,0.31,0.83,sms,english,False,,2025-02-09
ola cab to office,ola cab to office,commute,cab,impulsive,-0.36,0.84,manual,hinglish,False,,2024-03-30
gaming subscription,gaming subscription,entertainment,entertainment,impulsive,-0.38,0.88,manual,hinglish,False,,2024-05-18
exam registration,exam registration,education,education,anxiety,-0.74,0.96,manual,english,False,,2024-10-08
book purchase,book purchase,education,education,impulsive,-0.25,0.83,manual,hinglish,False,,2024-02-05
concert ticket,concert ticket,entertainment,entertainment,anxiety,-0.82,0.92,manual,english,False,,2024-04-09
impulse shopping again 😐,impulse shopping again,shopping,shopping,anxiety,-0.72,0.91,sms,hinglish,False,,2025-01-02
health checkup,health checkup,health,medical,regret,-0.68,0.9,manual,hinglish,False,,2024-04-18
unplanned purchase,unplanned purchase,shopping,shopping,care,0.26,0.96,manual,hinglish,False,,2025-04-08
shopping mall visit,shopping mall visit,shopping,shopping,neutral,0.07,0.93,manual,english,False,,2024-08-06
movie night,movie night,entertainment,entertainment,stress,-0.59,0.82,sms,hinglish,False,,2024-01-07
unplanned purchase,unplanned purchase,shopping,shopping,care,0.3,0.95,manual,english,False,,2024-01-26
mobile recharge done,mobile recharge done,bill_payment,mobile_bill,casual,0.3,0.87,sms,hinglish,False,,2024-09-11
swiggy dinner order,swiggy dinner order,food_order,groceries,neutral,0.07,0.93,sms,english,False,,2024-02-28
health checkup,health checkup,health,medical,happy,0.63,0.95,manual,hinglish,False,,2024-11-29
doctor visit,doctor visit,health,medical,casual,0.21,0.93,manual,english,False,,2024-12-17
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,vehicle_repair,happy,0.73,0.87,manual,hinglish,False,,2024-04-21
ate outside today,ate outside today,food_order,groceries,anxiety,-0.81,0.87,sms,hinglish,False,,2025-01-21
doctor visit,doctor visit,health,medical,care,0.4,0.86,manual,english,False,,2024-11-15
exam registration,exam registration,education,education,regret,-0.56,0.98,manual,hinglish,False,,2024-11-28
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,anxiety,-0.67,0.88,sms,hinglish,False,,2025-02-18
shopping mall visit,shopping mall visit,shopping,shopping,regret,-0.7,0.98,sms,english,False,,2024-12-21
late night food craving,late night food craving,food_order,dining,anxiety,-0.78,0.94,sms,english,False,,2024-09-02
paid house rent,paid house rent,bill_payment,mobile_bill,anxiety,-0.65,0.9,manual,english,False,,2024-10-14
online course fee,online course fee,education,education,regret,-0.6,0.85,manual,english,False,,2024-12-14
spotify subscription,spotify subscription,subscription,subscription,happy,0.6,0.88,sms,hinglish,False,,2025-05-09
vet consultation,vet consultation,pet_care,medical,anxiety,-0.73,0.91,sms,english,False,,2024-12-29
health checkup,health checkup,health,medical,neutral,0.11,0.88,manual,english,False,,2024-07-15
junk food again 😐,junk food again,food_order,dining,neutral,0.1,0.96,manual,english,False,,2025-03-07
doctor visit,doctor visit,health,medical,neutral,-0.05,0.97,manual,english,False,,2024-06-23
app premium plan,app premium plan,subscription,subscription,happy,0.73,0.96,manual,hinglish,False,,2024-10-25
movie night,movie night,entertainment,entertainment,anxiety,-0.66,0.99,manual,hinglish,False,,2024-11-21
spotify subscription,spotify subscription,subscription,subscription,regret,-0.59,0.85,manual,english,False,,2024-08-21
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,fuel,neutral,0.11,0.84,sms,english,False,,2025-01-01
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,stress,-0.49,0.92,manual,hinglish,False,,2024-11-23
internet bill cleared,internet bill cleared,bill_payment,mobile_bill,stress,-0.5,0.88,manual,hinglish,False,,2024-02-19
concert ticket,concert ticket,entertainment,entertainment,casual,0.18,0.89,sms,english,False,,2024-11-07
internet bill cleared,internet bill cleared,bill_payment,mobile_bill,anxiety,-0.68,0.96,manual,hinglish,False,,2024-06-25
swiggy dinner order,swiggy dinner order,food_order,dining,happy,0.63,0.94,manual,english,False,,2024-05-16
auto ride home,auto ride home,commute,fuel,care,0.32,0.86,sms,english,False,,2025-04-02
car service today,car service today,vehicle_maintenance,fuel,care,0.27,0.91,sms,hinglish,False,,2025-04-14
doctor visit,doctor visit,health,medical,impulsive,-0.37,0.9,sms,hinglish,False,,2024-01-13
spotify subscription,spotify subscription,subscription,subscription,impulsive,-0.37,0.93,manual,english,False,,2024-10-30
exam registration,exam registration,education,education,casual,0.28,0.82,sms,hinglish,False,,2024-08-04
exam registration,exam registration,education,education,regret,-0.55,0.86,manual,hinglish,False,,2024-05-30
food delivery after work,food delivery after work,food_order,dining,regret,-0.51,0.83,sms,hinglish,False,,2024-01-24
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,care,0.34,0.96,sms,hinglish,False,,2024-07-23
book purchase,book purchase,education,education,happy,0.67,0.98,sms,english,False,,2024-08-13
weekend outing,weekend outing,entertainment,entertainment,care,0.42,0.99,manual,hinglish,False,,2025-01-18
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,care,0.31,0.92,sms,english,False,,2024-04-08
weekend outing,weekend outing,entertainment,entertainment,neutral,-0.02,0.95,manual,hinglish,False,,2024-06-01
gaming subscription,gaming subscription,entertainment,entertainment,casual,0.22,0.98,sms,english,False,,2025-04-12
netflix renewal,netflix renewal,subscription,subscription,anxiety,-0.75,0.91,sms,english,False,,2024-01-19
took rapido bike,took rapido bike,commute,fuel,casual,0.19,0.91,manual,hinglish,False,,2024-02-17
cat food purchase,cat food purchase,pet_care,pet_supplies,impulsive,-0.33,0.91,sms,hinglish,False,,2024-11-17
clinic consultation,clinic consultation,health,medical,happy,0.68,0.89,manual,english,False,,2024-02-12
doctor visit,doctor visit,health,medical,neutral,0.1,0.98,manual,english,False,,2024-02-17
app premium plan,app premium plan,subscription,subscription,regret,-0.56,0.92,manual,english,False,,2025-01-11
doctor visit,doctor visit,health,medical,anxiety,-0.82,0.84,manual,english,False,,2024-04-04
clinic consultation,clinic consultation,health,medical,regret,-0.69,0.83,manual,hinglish,False,,2025-03-21
pet food and vet visit,pet food and vet visit,pet_care,medical,neutral,0.05,0.95,sms,english,False,,2024-11-06
car service today,car service today,vehicle_maintenance,vehicle_repair,casual,0.19,0.91,manual,english,True,fuel,2024-03-23
weekend outing,weekend outing,entertainment,entertainment,neutral,0.02,0.93,manual,hinglish,False,,2025-02-10
bought clothes online,bought clothes online,shopping,shopping,happy,0.59,0.84,sms,english,False,,2024-10-02
internet bill cleared,internet bill cleared,bill_payment,rent,impulsive,-0.27,0.86,manual,hinglish,False,,2024-08-17
ola cab to office,ola cab to office,commute,cab,happy,0.6,0.93,manual,hinglish,False,,2024-08-13
unplanned purchase,unplanned purchase,shopping,shopping,casual,0.3,0.83,sms,english,False,,2025-03-25
learning platform subscription,learning platform subscription,education,education,anxiety,-0.8,0.87,manual,hinglish,False,,2024-12-13
movie night,movie night,entertainment,entertainment,impulsive,-0.45,0.94,sms,hinglish,False,,2024-01-09
unplanned purchase,unplanned purchase,shopping,shopping,casual,0.23,0.84,sms,english,False,,2024-08-26
learning platform subscription,learning platform subscription,education,education,regret,-0.63,0.88,sms,hinglish,False,,2025-01-12
weekend outing,weekend outing,entertainment,entertainment,casual,0.31,0.96,sms,hinglish,False,,2024-11-06
medicines bought,medicines bought,health,medical,casual,0.29,0.98,manual,english,False,,2024-09-20
late night food craving,late night food craving,food_order,dining,neutral,0.04,0.93,sms,english,False,,2025-03-05
concert ticket,concert ticket,entertainment,entertainment,regret,-0.64,0.91,manual,english,False,,2024-09-28
metro recharge,metro recharge,commute,fuel,neutral,0.14,0.9,sms,english,False,,2024-09-27
movie night,movie night,entertainment,entertainment,anxiety,-0.69,0.84,manual,english,False,,2024-01-18
dog grooming,dog grooming,pet_care,pet_supplies,regret,-0.6,0.88,manual,hinglish,False,,2025-03-18
spotify subscription,spotify subscription,subscription,subscription,stress,-0.47,0.98,manual,english,False,,2024-11-16
ordered food again 😩,ordered food again,food_order,groceries,care,0.32,0.93,manual,english,False,,2024-09-29
cat food purchase,cat food purchase,pet_care,pet_supplies,happy,0.7,0.96,sms,english,False,,2025-03-17
car service today,car service today,vehicle_maintenance,vehicle_repair,stress,-0.52,0.89,sms,english,False,,2024-06-23
doctor visit,doctor visit,health,medical,happy,0.73,0.87,manual,english,False,,2024-02-16
paid house rent,paid house rent,bill_payment,mobile_bill,care,0.3,0.98,sms,hinglish,False,,2024-07-19
bought clothes online,bought clothes online,shopping,shopping,casual,0.33,0.83,sms,hinglish,False,,2025-04-24
ola cab to office,ola cab to office,commute,fuel,casual,0.2,0.87,sms,english,False,,2025-02-04
internet bill cleared,internet bill cleared,bill_payment,electricity,impulsive,-0.33,0.85,manual,english,False,,2025-02-19
paid house rent,paid house rent,bill_payment,rent,neutral,-0.01,0.88,manual,english,False,,2024-12-10
clinic consultation,clinic consultation,health,medical,neutral,0.05,0.91,manual,english,False,,2024-08-12
exam registration,exam registration,education,education,anxiety,-0.74,0.98,sms,hinglish,False,,2025-05-03
learning platform subscription,learning platform subscription,education,education,neutral,0.15,0.9,manual,english,False,,2024-01-19
electricity bill paid,electricity bill paid,bill_payment,mobile_bill,happy,0.66,0.87,manual,english,False,,2024-03-26
auto ride home,auto ride home,commute,fuel,neutral,0.06,0.98,sms,english,False,,2025-04-02
mobile recharge done,mobile recharge done,bill_payment,electricity,neutral,-0.0,0.82,sms,english,False,,2024-06-29
engine oil change,engine oil change,vehicle_maintenance,fuel,happy,0.73,0.89,sms,english,False,,2024-11-14
mobile recharge done,mobile recharge done,bill_payment,rent,impulsive,-0.38,0.98,sms,hinglish,False,,2025-02-14
metro recharge,metro recharge,commute,fuel,happy,0.62,0.93,manual,english,False,,2025-02-12
electricity bill paid,electricity bill paid,bill_payment,electricity,impulsive,-0.37,0.9,sms,english,False,,2025-04-02
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,impulsive,-0.32,0.96,sms,hinglish,False,,2024-10-15
impulse shopping again 😐,impulse shopping again,shopping,shopping,impulsive,-0.32,0.89,sms,english,False,,2024-01-04
medicines bought,medicines bought,health,medical,neutral,0.02,0.99,manual,english,False,,2025-05-03
paid house rent,paid house rent,bill_payment,rent,impulsive,-0.26,0.97,manual,english,False,,2024-09-18
doctor visit,doctor visit,health,medical,casual,0.34,0.98,manual,english,False,,2024-06-02
impulse shopping again 😐,impulse shopping again,shopping,shopping,anxiety,-0.69,0.99,sms,english,False,,2025-01-11
